# Dragon Research Group (DRG)
# sshpwauth report
# 2013-12-20 13:00:02 - 2013-12-27 13:00:02
#
# To read more about SSH password authentication issues and how to
# mitigate SSH password authentication brute force attacks based on
# report data such as this, see:
#
#  <http://www.dragonresearchgroup.org/insight/sshpwauth-tac.html>
#
# README: The sshpwauth report is for free for non-commercial use
#         ONLY.  If you wish to discuss commercial use of this
#         service, please contact the Dragon Research Group (DRG)
#         for more information.  Redistribution of the sshpwauth
#         report is prohibited without the express permission of
#         the Dragon Research Group (DRG).
#
#         This report is informational.  It is not a blacklist, but some
#         operators may choose to use it to help protect their networks
#         and hosts in the forms of automated reporting and mitigation
#         services.  The data is provided on an as-is basis with no
#         expressed warranty or guarantee of accuracy.  Use of this data
#         is at your own risk.  If you have questions about this report
#         do not hesitate to contact us by any of the means below.
#
#         The Dragon Research Group (DRG) is a volunteer research
#         organization dedicated to further the understanding of
#         online criminality and to provide actionable intelligence
#         for the benefit of the entire Internet community.
#      
#               URL: <http://www.dragonresearchgroup.org>
#             email: dragon@dragonresearchgroup.org
#           PGP key: 0x47196BBF
#               IRC: irc://irc.freenode.net/drg
#           Twitter: http://twitter.com/dragonresearch
#
# Entries consist of fields with identifying characteristics of a
# a source IP address that has been seen attempting to remotely
# login to a host using SSH password authentication.  This report
# lists hosts that are highly suspicious and are likely conducting
# malicious SSH password authentication attacks.  Each entry is
# sorted according to a route origination ASN.  An entry for the
# IP address may be listed more than once if there are multiple
# origin AS (MOAS) announcements for the covering prefix.  We use
# the Team Cymru IP address to ASN mapping service to construct a
# origin AS number and name.  For details about this Team Cymru
# service, see <http://www.team-cymru.org/Services/ip-to-asn.html>.
#
# Formatting is as follows:
#
# ASN  |  ASname  |  saddr  |  utc  |  category
#
# Each field is described below.  Please note any special formatting
# rules to aid in processing this file with automated tools and scripts.
# Blank lines may be present to improve the visual display of this file.
# Lines beginning with a hash ('#') character are comment lines.  All
# other lines are report entries.  Each field is separated by a pipe
# symbol ('|') and at least two whitespace characters on either side.
#
# ASN       Autonomous system number originating a route for the entry
#           IP address. Note, 4-byte ASNs are supported and will be
#           displayed as a 32-bit integer.
#
# ASname    A descriptive network name for the associated ASN.  The
#           name is truncated to 30 characters.
#
# saddr     The source IPv4 or IPv6 address that is being reported.
#
# utc       A last seen timestamp formatted as YYYY-MM-DD HH:MM:SS
#           and in UTC time.
#
# category  Descriptive tag name for this entry.  For this report,
#           the text sshpwauth will appear.
#
680          |  DFN Verein zur Foerderung eine  |   141.52.251.250  |  2013-12-27 01:47:51  |  sshpwauth
22927        |  Telefonica de Argentina         |   186.134.133.58  |  2013-12-20 17:25:22  |  sshpwauth
22927        |  Telefonica de Argentina         |    190.50.21.168  |  2013-12-20 16:18:39  |  sshpwauth
22927        |  Telefonica de Argentina         |  190.172.234.156  |  2013-12-23 18:07:47  |  sshpwauth
23650        |  CHINANET-JS-AS-AP AS Number fo  |   222.189.239.42  |  2013-12-26 17:24:54  |  sshpwauth
23650        |  CHINANET-JS-AS-AP AS Number fo  |   61.147.113.182  |  2013-12-22 05:34:07  |  sshpwauth
23650        |  CHINANET-JS-AS-AP AS Number fo  |   222.186.15.151  |  2013-12-20 17:20:52  |  sshpwauth
23650        |  CHINANET-JS-AS-AP AS Number fo  |    61.147.116.62  |  2013-12-26 12:56:48  |  sshpwauth
23650        |  CHINANET-JS-AS-AP AS Number fo  |    61.147.113.66  |  2013-12-27 11:55:19  |  sshpwauth
23650        |  CHINANET-JS-AS-AP AS Number fo  |  222.189.239.138  |  2013-12-25 22:52:07  |  sshpwauth
23650        |  CHINANET-JS-AS-AP AS Number fo  |    61.147.116.31  |  2013-12-26 18:49:38  |  sshpwauth
23650        |  CHINANET-JS-AS-AP AS Number fo  |    61.147.113.93  |  2013-12-25 08:50:48  |  sshpwauth
23650        |  CHINANET-JS-AS-AP AS Number fo  |    61.147.103.87  |  2013-12-26 03:34:11  |  sshpwauth
23650        |  CHINANET-JS-AS-AP AS Number fo  |    61.147.116.21  |  2013-12-26 07:55:20  |  sshpwauth
23650        |  CHINANET-JS-AS-AP AS Number fo  |   222.189.239.75  |  2013-12-27 10:41:11  |  sshpwauth
23650        |  CHINANET-JS-AS-AP AS Number fo  |   61.147.103.161  |  2013-12-21 15:56:49  |  sshpwauth
23650        |  CHINANET-JS-AS-AP AS Number fo  |    222.186.57.67  |  2013-12-27 00:35:28  |  sshpwauth
23650        |  CHINANET-JS-AS-AP AS Number fo  |    61.147.116.37  |  2013-12-27 11:23:28  |  sshpwauth
23650        |  CHINANET-JS-AS-AP AS Number fo  |    61.147.113.83  |  2013-12-27 02:24:04  |  sshpwauth
23650        |  CHINANET-JS-AS-AP AS Number fo  |   222.186.34.140  |  2013-12-26 01:34:35  |  sshpwauth
23650        |  CHINANET-JS-AS-AP AS Number fo  |   222.189.239.10  |  2013-12-27 02:05:27  |  sshpwauth
23650        |  CHINANET-JS-AS-AP AS Number fo  |   222.186.57.230  |  2013-12-21 21:48:44  |  sshpwauth
23650        |  CHINANET-JS-AS-AP AS Number fo  |    61.147.116.24  |  2013-12-26 22:35:11  |  sshpwauth
23650        |  CHINANET-JS-AS-AP AS Number fo  |   61.160.251.140  |  2013-12-24 02:15:04  |  sshpwauth
23650        |  CHINANET-JS-AS-AP AS Number fo  |   61.147.103.170  |  2013-12-24 13:06:34  |  sshpwauth
23650        |  CHINANET-JS-AS-AP AS Number fo  |    61.147.70.219  |  2013-12-23 03:32:16  |  sshpwauth
23650        |  CHINANET-JS-AS-AP AS Number fo  |   61.160.251.136  |  2013-12-27 03:03:15  |  sshpwauth
23650        |  CHINANET-JS-AS-AP AS Number fo  |     61.147.116.5  |  2013-12-27 08:58:22  |  sshpwauth
23650        |  CHINANET-JS-AS-AP AS Number fo  |   61.147.103.138  |  2013-12-21 13:53:50  |  sshpwauth
23650        |  CHINANET-JS-AS-AP AS Number fo  |  222.189.239.124  |  2013-12-27 12:44:22  |  sshpwauth
23650        |  CHINANET-JS-AS-AP AS Number fo  |   61.147.113.107  |  2013-12-27 02:38:14  |  sshpwauth
23650        |  CHINANET-JS-AS-AP AS Number fo  |    61.147.116.51  |  2013-12-25 04:55:49  |  sshpwauth
23650        |  CHINANET-JS-AS-AP AS Number fo  |     61.160.247.4  |  2013-12-22 07:24:39  |  sshpwauth
23650        |  CHINANET-JS-AS-AP AS Number fo  |   222.189.239.14  |  2013-12-27 12:54:09  |  sshpwauth
23650        |  CHINANET-JS-AS-AP AS Number fo  |    222.189.239.9  |  2013-12-20 13:40:29  |  sshpwauth
23650        |  CHINANET-JS-AS-AP AS Number fo  |    61.147.74.149  |  2013-12-27 11:46:53  |  sshpwauth
23650        |  CHINANET-JS-AS-AP AS Number fo  |    61.147.113.77  |  2013-12-27 12:33:11  |  sshpwauth
23650        |  CHINANET-JS-AS-AP AS Number fo  |    222.186.52.49  |  2013-12-26 21:53:11  |  sshpwauth
23650        |  CHINANET-JS-AS-AP AS Number fo  |    58.218.201.33  |  2013-12-20 22:01:01  |  sshpwauth
23650        |  CHINANET-JS-AS-AP AS Number fo  |   61.160.251.139  |  2013-12-27 06:07:01  |  sshpwauth
23650        |  CHINANET-JS-AS-AP AS Number fo  |   61.147.119.106  |  2013-12-27 09:30:50  |  sshpwauth
23650        |  CHINANET-JS-AS-AP AS Number fo  |     222.186.25.9  |  2013-12-24 17:44:59  |  sshpwauth
23650        |  CHINANET-JS-AS-AP AS Number fo  |   222.189.239.70  |  2013-12-25 21:11:03  |  sshpwauth
23650        |  CHINANET-JS-AS-AP AS Number fo  |    61.147.113.85  |  2013-12-27 04:57:14  |  sshpwauth
23650        |  CHINANET-JS-AS-AP AS Number fo  |  222.189.239.126  |  2013-12-26 22:10:10  |  sshpwauth
23650        |  CHINANET-JS-AS-AP AS Number fo  |   61.147.113.165  |  2013-12-27 06:45:49  |  sshpwauth
23650        |  CHINANET-JS-AS-AP AS Number fo  |    61.147.116.33  |  2013-12-26 06:37:58  |  sshpwauth
23650        |  CHINANET-JS-AS-AP AS Number fo  |   222.186.31.135  |  2013-12-23 15:05:22  |  sshpwauth
23650        |  CHINANET-JS-AS-AP AS Number fo  |   222.186.34.145  |  2013-12-25 04:37:22  |  sshpwauth
23650        |  CHINANET-JS-AS-AP AS Number fo  |    61.147.113.80  |  2013-12-27 09:30:29  |  sshpwauth
23650        |  CHINANET-JS-AS-AP AS Number fo  |    180.97.80.248  |  2013-12-22 11:44:54  |  sshpwauth
23650        |  CHINANET-JS-AS-AP AS Number fo  |   61.160.251.141  |  2013-12-27 02:38:50  |  sshpwauth
23650        |  CHINANET-JS-AS-AP AS Number fo  |   61.147.103.107  |  2013-12-21 15:13:55  |  sshpwauth
23650        |  CHINANET-JS-AS-AP AS Number fo  |    61.147.116.54  |  2013-12-24 18:17:55  |  sshpwauth
23650        |  CHINANET-JS-AS-AP AS Number fo  |    61.147.116.20  |  2013-12-27 09:16:44  |  sshpwauth
23650        |  CHINANET-JS-AS-AP AS Number fo  |   222.186.15.121  |  2013-12-23 09:30:01  |  sshpwauth
23650        |  CHINANET-JS-AS-AP AS Number fo  |    61.147.116.48  |  2013-12-23 10:50:27  |  sshpwauth
23650        |  CHINANET-JS-AS-AP AS Number fo  |    61.147.116.32  |  2013-12-25 22:17:03  |  sshpwauth
23650        |  CHINANET-JS-AS-AP AS Number fo  |   222.189.239.72  |  2013-12-27 04:00:00  |  sshpwauth
23650        |  CHINANET-JS-AS-AP AS Number fo  |     61.147.116.8  |  2013-12-27 11:59:58  |  sshpwauth
23724        |  CHINANET-IDC-BJ-AP IDC, China   |     113.31.83.69  |  2013-12-23 10:33:30  |  sshpwauth
23724        |  CHINANET-IDC-BJ-AP IDC, China   |   220.181.82.213  |  2013-12-26 23:10:43  |  sshpwauth
23724        |  CHINANET-IDC-BJ-AP IDC, China   |     113.31.83.70  |  2013-12-26 04:10:19  |  sshpwauth
24139        |  CNNIC-WASU-AP WASU TV & Commun  |   218.108.85.245  |  2013-12-24 22:25:49  |  sshpwauth
24139        |  CNNIC-WASU-AP WASU TV & Commun  |     218.108.0.73  |  2013-12-27 02:14:53  |  sshpwauth
24139        |  CNNIC-WASU-AP WASU TV & Commun  |  125.210.224.132  |  2013-12-26 13:14:27  |  sshpwauth
24560        |  AIRTELBROADBAND-AS-AP Bharti A  |   122.180.69.230  |  2013-12-27 03:53:07  |  sshpwauth
24691        |  TOGOTEL-AS TogoTelecom, Togo    |     41.207.163.0  |  2013-12-27 08:59:03  |  sshpwauth
24940        |  HETZNER-AS Hetzner Online AG    |        46.4.0.71  |  2013-12-21 18:13:18  |  sshpwauth
24961        |  MYLOC-AS myLoc managed IT AG    |    217.79.190.93  |  2013-12-25 21:02:39  |  sshpwauth
25159        |  SONICDUO-AS OJSC MegaFon        |  193.201.228.120  |  2013-12-22 20:54:30  |  sshpwauth
25393        |  UKRLINK Ukrlink LLC             |      78.27.193.8  |  2013-12-22 14:26:14  |  sshpwauth
27569        |  GVII - Grand Valley Internet    |      69.85.93.37  |  2013-12-25 04:40:04  |  sshpwauth
27630        |  PREMIER - Premier Innovations,  |    72.34.251.117  |  2013-12-21 23:11:00  |  sshpwauth
27699        |  TELEFÔNICA BRASIL S.A          |  177.139.218.216  |  2013-12-26 04:09:20  |  sshpwauth
27747        |  Telecentro S.A.                 |    181.46.223.81  |  2013-12-26 22:55:07  |  sshpwauth
27747        |  Telecentro S.A.                 |   186.23.170.251  |  2013-12-26 23:10:10  |  sshpwauth
27947        |  Telconet S.A                    |   181.198.55.147  |  2013-12-25 04:05:30  |  sshpwauth
27983        |  Red Intercable Digital S.A.     |  190.103.238.197  |  2013-12-23 15:36:15  |  sshpwauth
28015        |  MERCO COMUNICACIONES            |  190.124.149.157  |  2013-12-26 23:09:09  |  sshpwauth
28048        |  Internet Para Todos - Gobierno  |  190.112.114.252  |  2013-12-26 23:24:57  |  sshpwauth
28048        |  Internet Para Todos - Gobierno  |  190.112.108.169  |  2013-12-26 23:02:47  |  sshpwauth
28376        |  Gigacable de Aguascalientes, S  |   201.159.51.251  |  2013-12-27 03:39:35  |  sshpwauth
28573        |  NET Serviços de Comunicação  |   187.105.116.71  |  2013-12-27 11:56:34  |  sshpwauth
28573        |  NET Serviços de Comunicação  |  177.192.225.148  |  2013-12-23 12:51:23  |  sshpwauth
29170        |  KUJTESA-AS Kujtesa Net Sh.p.k.  |     82.114.71.22  |  2013-12-26 10:09:28  |  sshpwauth
29684        |  NOURNET-ASN Nour Communication  |    88.85.251.250  |  2013-12-24 11:47:47  |  sshpwauth
30217        |  DESYNC - Desync Networks        |   207.234.184.39  |  2013-12-20 23:26:28  |  sshpwauth
30217        |  DESYNC - Desync Networks        |    216.87.173.50  |  2013-12-21 23:29:12  |  sshpwauth
30848        |  IT-TWT-AS TWT S.p.A.            |  178.236.162.133  |  2013-12-21 05:31:13  |  sshpwauth
30990        |  ADJIB-AS                        |   196.201.207.24  |  2013-12-22 13:13:21  |  sshpwauth
31679        |  SLOVANET-MICRONET Slovanet a.s  |      84.16.37.45  |  2013-12-21 08:50:40  |  sshpwauth
31707        |  MATI-AS State Educational Inst  |    194.54.177.39  |  2013-12-26 19:56:31  |  sshpwauth
33070        |  RMH-14 - Rackspace Hosting      |   162.242.147.89  |  2013-12-21 15:58:00  |  sshpwauth
33132        |  FPL-FIBERNET - FPL FiberNet, L  |   162.220.67.234  |  2013-12-23 07:31:44  |  sshpwauth
33132        |  FPL-FIBERNET - FPL FiberNet, L  |    162.220.65.21  |  2013-12-27 11:35:26  |  sshpwauth
33132        |  FPL-FIBERNET - FPL FiberNet, L  |   162.220.65.151  |  2013-12-24 03:55:51  |  sshpwauth
33132        |  FPL-FIBERNET - FPL FiberNet, L  |   162.220.64.100  |  2013-12-25 20:03:32  |  sshpwauth
33387        |  DATASHACK - DataShack, LC       |   142.54.177.122  |  2013-12-23 15:22:10  |  sshpwauth
33544        |  WILINE - WiLine Networks Inc.   |      70.35.59.13  |  2013-12-22 08:05:18  |  sshpwauth
33650        |  COMCAST-33650 - Comcast Cable   |    98.237.169.12  |  2013-12-27 08:31:25  |  sshpwauth
34641        |  IQ-NET-AS IQ-NET SRL            |     89.36.154.14  |  2013-12-24 05:43:54  |  sshpwauth
34878        |  KIT Karlsruhe Institute of Tec  |   141.52.251.250  |  2013-12-27 01:47:51  |  sshpwauth
34878        |  KIT Karlsruhe Institute of Tec  |    129.13.74.239  |  2013-12-22 21:50:26  |  sshpwauth
34984        |  TELLCOM-AS TELLCOM ILETISIM HI  |     176.42.4.141  |  2013-12-26 09:59:43  |  sshpwauth
35017        |  SWIFTWAY-AS Swiftway Sp. z o.o  |    46.21.157.183  |  2013-12-25 16:21:42  |  sshpwauth
35179        |  PROVIDER-WROCLAW Korbank sp. z  |   79.110.193.148  |  2013-12-25 08:25:27  |  sshpwauth
35662        |  REDSTATION Redstation Limited   |    37.220.29.100  |  2013-12-21 05:12:35  |  sshpwauth
36352        |  AS-COLOCROSSING - ColoCrossing  |      192.3.11.98  |  2013-12-24 16:52:37  |  sshpwauth
36352        |  AS-COLOCROSSING - ColoCrossing  |   198.206.15.145  |  2013-12-25 16:42:11  |  sshpwauth
36352        |  AS-COLOCROSSING - ColoCrossing  |    198.23.142.90  |  2013-12-23 19:27:36  |  sshpwauth
36352        |  AS-COLOCROSSING - ColoCrossing  |   172.245.44.190  |  2013-12-26 03:07:44  |  sshpwauth
36352        |  AS-COLOCROSSING - ColoCrossing  |    192.3.178.155  |  2013-12-24 14:02:25  |  sshpwauth
36352        |  AS-COLOCROSSING - ColoCrossing  |      192.3.21.88  |  2013-12-22 20:31:04  |  sshpwauth
36947        |  ALGTEL-AS                       |    41.98.185.104  |  2013-12-27 04:30:52  |  sshpwauth
36947        |  ALGTEL-AS                       |      41.97.37.23  |  2013-12-27 11:52:56  |  sshpwauth
37943        |  CNNIC-GIANT ZhengZhou GIANT Co  |  116.255.172.188  |  2013-12-27 05:31:12  |  sshpwauth
38283        |  CHINANET-SCIDC-AS-AP CHINANET   |   222.211.86.204  |  2013-12-23 03:48:26  |  sshpwauth
38283        |  CHINANET-SCIDC-AS-AP CHINANET   |    222.211.85.18  |  2013-12-25 03:33:02  |  sshpwauth
38700        |  SMILESERV-AS-KR SMILESERV       |    115.68.22.162  |  2013-12-26 17:40:43  |  sshpwauth
40289        |  PHX-CGIAM - CGI TECHNOLOGIES A  |  216.128.242.160  |  2013-12-22 13:05:49  |  sshpwauth
40676        |  AS40676 - Psychz Networks       |   23.238.230.196  |  2013-12-26 23:52:44  |  sshpwauth
40676        |  AS40676 - Psychz Networks       |    192.210.53.54  |  2013-12-25 06:33:14  |  sshpwauth
40676        |  AS40676 - Psychz Networks       |   23.238.230.248  |  2013-12-22 01:36:34  |  sshpwauth
40676        |  AS40676 - Psychz Networks       |    199.83.94.153  |  2013-12-23 23:57:13  |  sshpwauth
42314        |  FUSION fusion services          |    85.114.99.184  |  2013-12-24 08:55:56  |  sshpwauth
42708        |  PORTLANE Portlane Networks AB   |   91.236.116.151  |  2013-12-27 04:00:56  |  sshpwauth
43260        |  ROUTERGATE DGN TEKNOLOJI BILIS  |   37.247.103.107  |  2013-12-25 04:21:49  |  sshpwauth
43350        |  NFORCE NFOrce Entertainment BV  |   109.201.148.38  |  2013-12-24 05:40:09  |  sshpwauth
43668        |  BIGNET-AS PE Yuri Stanislavovi  |   91.197.186.243  |  2013-12-26 10:15:57  |  sshpwauth
45264        |  BAJAJALLIANZLIFE-AS-AP Bajaj A  |    202.90.40.156  |  2013-12-21 17:50:15  |  sshpwauth
45899        |  VNPT-AS-VN VNPT Corp            |    123.20.255.14  |  2013-12-23 00:21:38  |  sshpwauth
46562        |  COLO-AT-55-LLC - Colo at 55, L  |   192.252.217.58  |  2013-12-25 16:59:39  |  sshpwauth
48505        |  KYLOS-AS Kylos s.c.             |   195.162.24.136  |  2013-12-24 13:02:02  |  sshpwauth
48635        |  PCEXTREME PCextreme B.V.        |     185.27.174.7  |  2013-12-24 13:22:53  |  sshpwauth
52251        |  NORTECH                         |    186.1.227.130  |  2013-12-25 02:00:44  |  sshpwauth
52753        |  Rio Cable Serviços de Telecom  |  177.155.176.223  |  2013-12-25 00:12:18  |  sshpwauth
53628        |  APYLI-AS - Apyl Inc             |    173.0.130.222  |  2013-12-20 20:28:24  |  sshpwauth
54540        |  INCERO - Incero LLC             |   23.227.182.112  |  2013-12-23 22:36:03  |  sshpwauth
55286        |  SERVER-MANIA - B2 Net Solution  |    23.250.10.146  |  2013-12-20 23:29:12  |  sshpwauth
55470        |  CYFUTURE-AS-IN Cyber Futuristi  |   111.118.187.88  |  2013-12-23 08:31:22  |  sshpwauth
55577        |  BEAMTELE-AS-AP Beam Telecom Pv  |     183.82.53.28  |  2013-12-23 09:52:21  |  sshpwauth
55824        |  RSMANI-NKN-AS-AP National Know  |      14.139.56.2  |  2013-12-22 01:54:33  |  sshpwauth
55824        |  RSMANI-NKN-AS-AP National Know  |      14.139.56.3  |  2013-12-23 09:19:01  |  sshpwauth
56041        |  CMNET-ZHEJIANG-AP China Mobile  |  120.199.126.201  |  2013-12-23 20:17:41  |  sshpwauth
56041        |  CMNET-ZHEJIANG-AP China Mobile  |   183.247.177.35  |  2013-12-25 17:12:19  |  sshpwauth
56046        |  CMNET-JIANGSU-AP China Mobile   |   221.131.116.20  |  2013-12-26 09:07:30  |  sshpwauth
56046        |  CMNET-JIANGSU-AP China Mobile   |   221.131.116.23  |  2013-12-27 06:40:12  |  sshpwauth
58001        |  IDEALSOLUTION-AS Ideal Solutio  |   193.107.16.206  |  2013-12-27 10:07:38  |  sshpwauth
58598        |  COMTEL-NET-AS Mongolia          |       103.9.91.6  |  2013-12-22 14:36:13  |  sshpwauth
61053        |  VPSNET-AS UAB _Esnet_           |    91.211.244.97  |  2013-12-21 07:23:40  |  sshpwauth
62567        |  DIGITALOCEAN-ASN-NY2 - Digital  |  162.243.213.217  |  2013-12-27 07:09:03  |  sshpwauth
62567        |  DIGITALOCEAN-ASN-NY2 - Digital  |  162.243.248.155  |  2013-12-21 17:46:30  |  sshpwauth
197145       |  ASINFIUM Infium LLC             |     188.190.98.6  |  2013-12-26 10:24:15  |  sshpwauth
197726       |  UKRNAMES-AS Ukrainian Internet  |     91.231.87.62  |  2013-12-25 01:54:00  |  sshpwauth
262753       |  Você Telecom Ltda.             |  186.216.162.101  |  2013-12-27 06:26:19  |  sshpwauth
#
# Statistics
#        ASNs: 189
#   Addresses: 542
